[0.0242  Replica 0000]: Replica 0000 starting up
[1.0276  Replica 0000]: Received message '{'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[1.0276  Replica 0000]: Received message '{'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[1.1910  Replica 0001]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[1.1910  Replica 0001]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[1.1910  Replica 0001]: sending: {'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[1.1910  Replica 0001]: Received message '{'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[1.1931  Replica 0004]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[1.1931  Replica 0004]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[1.1931  Replica 0004]: sending: {'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[1.1931  Replica 0004]: Received message '{'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[1.1931  Replica 0000]: Sending following batch of entries: []
[1.1931  Replica 0000]: Sending following batch of entries: []
[1.1931  Replica 0000]: Sending following batch of entries: []
[1.1931  Replica 0000]: Sending following batch of entries: []
[1.1931  Replica 0000]: Received message '{'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[1.1934  Replica 0002]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[1.1934  Replica 0002]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[1.1934  Replica 0002]: sending: {'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[1.1934  Replica 0002]: Received message '{'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[1.1936  Replica 0003]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[1.1936  Replica 0003]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[1.1936  Replica 0003]: sending: {'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[1.1936  Replica 0003]: Received message '{'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[1.1936  Replica 0000]: Received message '{'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[1.1936  Replica 0000]: Received message '{'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[1.1936  Replica 0000]: Received message '{'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[1.3589  Replica 0001]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[1.3590  Replica 0001]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[1.3590  Replica 0001]: sending: {'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[1.3590  Replica 0001]: Received message '{'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[1.3605  Replica 0002]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[1.3605  Replica 0002]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[1.3605  Replica 0002]: sending: {'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[1.3605  Replica 0002]: Received message '{'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[1.3608  Replica 0004]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
